序号,题名,作者,关键词,摘要,DOI,CN,作者单位,刊名,ISSN,页码,核心类型,中图分类号
435,融合响应特征差异的多模态AI虚假信息检测,"张新生, 林承宇, 马玉龙, 王润周","生成式AI, 虚假信息检测, 响应特征, 普适性检测, 差异特征, 多模态","[研究目的]不法分子利用AI生成虚假图文信息,扰乱公众认知,威胁社会稳定.现有检测方法在面对不同AI模型生成的信息时普适性较弱,难以精准识别虚假内容.针对这一挑战,该研究从生成式AI的响应特征差异出发,探索有效的检测机制,以提升虚假信息检测的准确性和鲁棒性.[研究方法]通过对GPT、PaLM2、Llama2、Mix-tral、RWKV五种主流生成模型的文本特征进行对比分析,提取词汇词性、情感倾向、语法结构、困惑度等多维度差异特征,并引入BERT与Vision-Transformer融合的BVT-CNN多模态虚假信息检测模型.实验采用消融对比方法,评估差异特征对检测性能的影响.[研究结果/结论]结果表明,融合差异特征后,wF1指标提高了 4.94％,显著增强了对混合生成式AI信息的检测能力.研究成果不仅优化了 AI虚假信息检测策略,对多种生成模型在响应特征上的差异进行归纳分析.",10.3969/j.issn.1002-1965.2025.07.016,61-1167/G3,西安建筑科技大学," 情报杂志,Journal of Intelligence,2025,44(7)",1002-1965,122-134,"CSTPCD, 北大核心, CSSCI, AMI",G202(信息与传播理论);TP18(自动化基础理论)
436,"""唐崖""的媒介学意义——评《唐崖:文化记忆与传播创新研究》",郭建斌,,"党的十八大以来,习近平总书记在不同场合对中华传统文化发表了一系列重要讲话,把对传统文化的重视推向了历史的新阶段.唐崖土司城遗址(以下简称唐崖)于2015年成功列入世界文化遗产名录,是中华优秀传统文化的一部分,了解和传播唐崖文化,有利于增进中华民族文化认同.",10.3969/j.issn.1672-433X.2025.05.020,42-1704/C,广州大学," 中南民族大学学报（人文社会科学版）,Journal of South-Central University for Nationalities (Humanities and Social Sciences),2025,45(5)",1672-433X,封3,"CSTPCD, 北大核心, CSSCI, AMI",G206(信息与传播理论);I0-03(文学的方法论);I207.42(各体文学评论和研究)
437,多模态数据驱动的网络数据安全态势感知理论模型构建,"贾若男, 陈晓琳, 郭宇","多模态数据, 网络数据安全, 态势感知, 三元世界理论","[研究目的]构建理论模型,以多模态数据为驱动提供深入理解网络数据安全态势要素、全面感知安全态势并应对安全风险的可行路径.[研究方法]以三元世界理论为基础,遵循收集数据(Data)-揭示信息(Information)-综合研判(Intelligence)-形成方案(Solution)的逻辑构建网络数据安全态势感知理论模型,将物理空间和社会空间中的事件多模态数据映射到信息空间,并通过信息空间中数据的组织、融合与分析实现网络数据安全态势感知,从而反向指导物理空间和社会空间的网络数据安全风险应对处置决策.[研究结果/结论]通过理论模型的构建与统筹分析,为多模态数据驱动网络数据安全态势感知提供了普适意义上的参考,并为相关实践奠定理论基础以进一步响应国家数据资源全生命周期安全保护的战略需要.",10.3969/j.issn.1002-1965.2025.07.010,61-1167/G3,湘潭大学," 情报杂志,Journal of Intelligence,2025,44(7)",1002-1965,69-76,"CSTPCD, 北大核心, CSSCI, AMI",G203(信息与传播理论)
438,晚清城市化与报刊业的发展——基于1902-1911年数据的考察,姚君喜,"城市化, 城市人口, 新办企业, 报刊创办","借助基准回归、分组回归等分析方法,通过对城市人口、新办企业数等城市化指标的实证考察,证明晚清城市化进程极大推动了报刊业的发展.城市化对报刊业的推动,通过通商口岸、铁路建设、电报开通和兴办邮政局所等具体社会发展形态来实现,这些发展变革都为晚清十年中国新闻传媒业的发展奠定了基础,从而极大地推动了中国社会的进步、思想观念的革新和社会文化的发展.",10.3969/j.issn.1007-8770.2025.09.002,11-5363/G2,上海交通大学," 现代传播,Modern Communication,2025,47(9)",1007-8770,1-13,"CSTPCD, 北大核心, CSSCI, AMI",G206(信息与传播理论);F590.3(旅游经济理论与方法);F299.233.5(城市与市政经济)
439,基于主题挖掘和情感分析的在线健康社区用户评论研究,"郭羽婷, 姚宣合","健康社区, 用户评论, 主题挖掘, 文本分类, 情感分析","[目的/意义]在线健康社区为用户提供线上健康服务,分析其用户评论的潜在信息,对于医疗服务质量的提高和健康社区信息建设的优化具有重要意义.[方法/过程]本文提出了一个在线健康社区用户评论分析模型.首先,通过隐含狄利克雷分布(Latent Dirichlet Allocation,LDA)主题模型挖掘患者评论的主题;其次,使用分类模型对患者评论进行主题分类;最后,通过词频—逆文档频率(Term Frequency-Inverse Document Fre-quency,TF-IDF)方法以及情感倾向点互信息(Semantic Orientation Pointwise Mutual Information,SO-PMI)方法构建领域情感词典,计算各个主题的患者评论文本的情感得分,分析不同情感倾向的评论信息.[结果/结论]通过分析""好大夫在线""综合性三甲医院的用户评论数据,对其进行实证研究,根据实验结果的信息内容和规律,提出了改进医疗服务和信息建设的相关参考建议.",10.3969/j.issn.1008-0821.2025.08.011,22-1182/G3,东北师范大学," 现代情报,Journal of Modern Information,2025,45(8)",1008-0821,135-145,"CSTPCD, 北大核心, CSSCI, AMI",G203(信息与传播理论)
440,突破边界:人机情感交互中的伦理风险及其治理,"赵云泽, 黄子婷","人机情感交互, 机器人, 人工智能, 算法伦理","随着人工智能机器人的进化,其在与人类互动的过程中已突破人类情感边界,拥有了同人类情感的共鸣与纠葛,随之而来的伦理风险也日益凸显.人机情感交互中主要存在三大风险:情感欺骗、人际交往恶化和隐私泄露.其形成原因主要包括使用者所产生的情感迁移与沉浸、机器学习的算法歧视和机器人开发中的情感矛盾等.基于技术发展与伦理价值之间存在的复杂张力,应从管理者、生产者和使用者三个维度展开风险治理,即管理者层面构建人机共生的伦理与法律框架,生产者层面拓展从技术设计到伦理的责任,使用者层面提升技术素养与伦理意识等.为避免人机情感交互中的伦理矛盾与危机事件,三者需合力构建""人机共生""的和谐生态系统,使人类与机器在情感的纽带中共同进化、彼此成就.",10.3969/j.issn.1008-1569.2025.5.dnxs202505007,35-1197/C,中国人民大学," 东南学术,Southeast Academic Research,2025(5)",1008-1569,59-72,"CSTPCD, 北大核心, CSSCI, AMI",G206(信息与传播理论);B842.6(心理过程与心理状态)
441,故事的未来:智能传播时代故事讲述的前景与叙事危机,肖荣春,"故事, 智能传播, 叙事, 故事讲述","在智能传播时代,非自然叙事迅速兴起,""故事化""竞相成为一种流量争夺的技术,泛滥于社会生活的方方面面.一方面智能技术赋能故事讲述实践,另一方面又加深了故事讲述的异化程度.要疏导""故事超载""、节制""叙事狂欢""、提倡""叙事自律""、缓解""叙事危机"",但故事的核心仍是经验的传递和意义的分享,同时需从数字叙事学的视角关注技术对人类叙事能力的强化和""反噬"",构建理想的故事世界和叙事秩序,维护故事的公共性,重拾故事讲述的人类经验和意义关怀,促进故事的共鸣与共通.",10.3969/j.issn.1007-8770.2025.05.009,11-5363/G2,宁波工程学院," 现代传播,Modern Communication,2025,47(5)",1007-8770,75-83,"CSTPCD, 北大核心, CSSCI, AMI",G206.2(信息与传播理论);B832.1(美学与社会生产);I0(文学理论)
442,城市更新异质化情境中的居民参与——基于"产权—资金"框架的多案例分析,"徐林, 章志涵, 周芷芊","居民参与, 城市更新, 产权归属, 资金来源","可持续的城市更新需遵循因地制宜的总体要求,并以有效居民参与为必要条件.明晰城市更新的异质化情境,探究具体情境下居民参与的适切形式,具有鲜明的实践意义和理论价值.基于""产权—资金""二元框架,城市更新异质情境可被划分为四类理想类型.将建言、协商、共建和自主四类居民参与形式与具体情境类型相适配,可揭示产权归属、资金来源类型与居民参与涉众范畴、组织方式间的机制关联.案例表明,在与情境适配的前提下,不论是建议抑或决策层面的居民参与,均能发挥正向作用.这一事实体现了居民参与的梯度逻辑.该逻辑对于建构制度化的城市更新居民参与机制具有理论启发意义.",,33-1149/C,浙江大学," 浙江社会科学,Zhejiang Social Sciences,2025(7)",1004-2253,57-66,"CSTPCD, 北大核心, CSSCI, AMI",G206(信息与传播理论);D920.4(中国法律);D616(中国革命和建设问题)
443,强化舆情图谱构建 赋能网络生态治理——评《社交网络舆情主题图谱构建及调控策略研究》,李纲,"社交网络, 网络舆情, 主题图谱, 调控策略, 网络生态治理, 书评","[目的/意义]随着社交媒体与短视频平台的快速发展,网络舆情日益呈现出突发性、复杂性与链式演化等新特征,已成为影响国家安全与社会治理现代化的重要议题.《社交网络舆情主题图谱构建及调控策略》一书,系统构建了大数据驱动的主题图谱理论、方法与应用体系,对推动舆情智能治理与风险调控具有重要理论与现实价值.[方法/过程]本文从新视角、新技术、新规律、新应用4个维度对该书进行评价,重点阐述其在信息生态理论框架下的多维分析、跨学科方法融合、演进机制解析及典型场景实践等方面的贡献.[结果/结论]全书系统地阐释了面向现实问题的理论逻辑,又充分体现了基于方法驱动和方法集成的应对思路,不仅在舆情治理理论方面具有创新性,也为信息资源管理、公共管理、计算机科学等多学科交叉研究提供了重要参考,具有较高的学术引领性与实践指导价值.",10.3969/j.issn.1008-0821.2025.11.001,22-1182/G3,武汉大学," 现代情报,Journal of Modern Information,2025,45(11)",1008-0821,3-4,"CSTPCD, 北大核心, CSSCI, AMI",G206(信息与传播理论)
444,在线医疗人智混合交互:理论溯源、范式变革与前沿趋势,张帅,"在线医疗, 人智混合交互, 人工智能体, 机器行为","[目的/意义]在生成式人工智能的浪潮下,在线医疗人智混合交互领域正在发生深刻变革,迫切需要前瞻性地审视其演进规律与发展趋势,为信息管理与情报学跨学科研究开辟新的面向与路径.[研究设计/方法]采用纵贯性视角,对在线医疗人智混合交互的理论溯源、范式变革及前沿趋势进行系统性地探讨.[结论/发现]在线医疗人智混合交互经历了从工具理性、具身认知到数智赋能的三重理念,形成了工程技术、用户行为和机器行为的多元范式,探索了运行模式、心智模型与协同机制的前沿趋势,并回应了人工智能素养、算法偏见、数据隐私和决策透明性等诸多挑战.[创新/价值]以机器行为为切入点,凝练了在线医疗人智混合交互的核心命题,有望形成引领前沿的研究方向.",10.13366/j.dik.2025.05.079,42-1085/G2,中山大学," 图书情报知识,Document,Informaiton & Knowledge,2025,42(5)",1003-2797,79-86,"CSTPCD, 北大核心, CSSCI, AMI",G203(信息与传播理论)
